Transect_I,MGMTUNIT_I,TransectNa,StartLat,StartLong,SITE_ID,tblSITE_Site,ManUnitAcres,Obs.2008,Obs.2009,Obs.2010,Obs.2011,Obs.2012,Obs.2013,Obs.2014,Obs.2015,Obs.2016,Obs.2017,Obs.2018,Sys.2008,Sys.2009,Sys.2010,Sys.2011,Sys.2012,Sys.2013,Sys.2014,Sys.2015,Sys.2016,Sys.2017,Sys.2018,Mgmt.2008,Mgmt.2009,Mgmt.2010,Mgmt.2011,Mgmt.2012,Mgmt.2013,Mgmt.2014,Mgmt.2015,Mgmt.2016,Mgmt.2017,Mgmt.2018,NumObs,Delta
1581,196,BR9_74,46.35296,-97.3603,64,Brown Ranch,71.1,1,0,0,0,0,0,0,0,0,0,0,WM,WM,WM,WM,WM,WM,WM,WM,"",WM,WM,Graze,Rest,Graze,Rest,Combo,Graze,Graze,Graze,Graze,Rest,"",0,0
1582,196,BR9_79,46.3502,-97.3634,64,,71.1,,,,,,,,,,,,,,,,,,,,,,,Graze,Rest,Graze,Rest,Combo,Graze,Graze,Graze,Graze,Rest,"",,1
1583,196,BR9_85,46.35214,-97.3585,64,Brown Ranch,71.1,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,Graze,Rest,Graze,Rest,Combo,Graze,Graze,Graze,Graze,Rest,"",0,0
1584,196,BR9_95,46.35155,-97.3641,64,Brown Ranch,71.1,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,Graze,Rest,Graze,Rest,Combo,Graze,Graze,Graze,Graze,Rest,"",0,0
1585,197,5LE1-01,44.1965,-96.3212,65,Altona WMA,24.8,1,1,0,0,0,0,1,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",1,0
1586,197,5LE1-03,44.1944,-96.3209,65,Altona WMA,24.8,1,1,0,0,0,0,1,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",1,0
1587,197,5LE1-04,44.1951,-96.3184,65,Altona WMA,24.8,1,1,0,0,0,0,1,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",1,0
1588,197,5LE1-05,44.1925,-96.3214,65,Altona WMA,24.8,1,1,0,0,0,0,1,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",1,0
1589,197,5LE1-06,44.1928,-96.3187,65,Altona WMA,24.8,1,1,0,0,0,0,1,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",1,0
1590,197,5LE1-08,44.19421955,-96.31946981,65,Altona WMA,24.8,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,Rest,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",1,0
1591,198,5LE1-02,44.19490289,-96.32316996,65,Altona WMA,,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,,,,,,,,,,,,1,0
1592,198,5LE1-07,44.19122681,-96.31985385,65,Altona WMA,,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,,,,,,,,,,,,1,0
1593,198,5LE1-09,44.1951326,-96.31973595,65,Altona WMA,,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,,,,,,,,,,,,1,0
1594,198,5LE1-10,44.19621236,-96.31946555,65,Altona WMA,,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,,,,,,,,,,,,1,0
1595,198,5LE1-11,44.1968885,-96.31894279,65,Altona WMA,,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,,,,,,,,,,,,1,0
1596,198,5LE1-12,44.19132342,-96.32155583,65,Altona WMA,,0,0,0,0,0,0,1,0,0,0,0,"","","","","","",UG,UG,UG,UG,UG,,,,,,,,,,,,1,0
1597,199,1SI1-06,48.00308822,-96.30884692,66,Higginbotham WMA,55.4,0,1,1,0,0,0,0,0,1,0,0,"",WM,WM,WM,WM,WM,WM,WM,LG,LG,LG,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
1598,199,1SI1-07,48.00071689,-96.30860868,66,Higginbotham WMA,55.4,0,1,1,0,0,0,0,0,1,0,0,"",WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
1599,199,1SI1-08,48.00123193,-96.30583274,66,Higginbotham WMA,55.4,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,UG,UG,UG,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
